,vehicle_id,time_send,time_enter,time_start,SOC_end,SOC_send,lat,long,v_hex,CS_location,v_position,CS_position,distance
0,57,210.0,214.39134070220143,214.39134070220143,100.0,49.23586592977986,52.51571741589023,13.345409146920305,871f1d48effffff,"[52.5214179015252, 13.338298068328278]",45,45,1.1956703511007127
1,111,270.00299999999993,272.63030417318794,272.63030417318794,58.327043975505255,47.748361203814,52.49192001688304,13.448608470737701,871f1d4d2ffffff,"[52.49354154204225, 13.44705274547329]",73,73,0.3136520865939915
2,166,270.00199999999995,281.5083826431686,281.5083826431686,74.69775421954847,48.55826263511291,52.52390771767039,13.167908322680738,871f1d4b2ffffff,"[52.53090638564867, 13.213166795881953]",64,65,4.753191321584323
3,23,390.00699999999983,400.48211954179857,400.48211954179857,67.96401223230947,47.39991276915241,52.521438806941234,13.451234590879851,871f1d4d4ffffff,"[52.54613863091085, 13.460857629288627]",75,86,4.237559770899364
4,48,330.0049999999999,337.9385920218065,337.9385920218065,81.80921622542886,49.52465063160738,52.54405126232931,13.393851045182677,871f1d48dffffff,"[52.56008239238105, 13.406443921362147]",44,88,2.96679601090332
5,97,270.001,272.001,272.001,100.0,50.0,52.50097209442048,13.286581684197897,871f1d49cffffff,"[52.50097209442048, 13.286581684197897]",52,52,0.0
6,151,480.01399999999967,487.88750684460445,487.88750684460445,100.0,44.80297181602794,52.50389819016746,13.34094961470725,871f1d48affffff,"[52.5214179015252, 13.338298068328278]",41,45,2.936753422302392
7,118,300.0039999999999,302.0039999999999,302.0039999999999,100.0,50.0,52.452699015041034,13.34359835695238,871f18b35ffffff,"[52.452699015041034, 13.34359835695238]",27,27,0.0
8,71,510.0179999999996,515.8068398611865,515.8068398611865,100.0,43.967049524940414,52.54767317505474,13.34872570635601,871f1d48cffffff,"[52.555749287059484, 13.33564386582653]",43,59,1.8944199305934721
9,156,510.01899999999955,518.3559386060504,518.3559386060504,100.0,44.89259912448687,52.57136870572567,13.317942542250782,871f1d4aeffffff,"[52.555749287059484, 13.33564386582653]",61,59,3.1684693030253905
10,16,510.0169999999996,517.8905068446044,517.8905068446044,100.0,43.877624081225356,52.50389819016746,13.34094961470725,871f1d48affffff,"[52.5214179015252, 13.338298068328278]",41,45,2.936753422302392
11,139,570.0239999999994,575.9877457312999,575.9877457312999,100.0,40.68077074593429,52.53161005796923,13.348284629661435,871f1d48cffffff,"[52.5214179015252, 13.338298068328278]",43,45,1.9818728656502211
12,87,570.0229999999995,574.3060167469813,574.3060167469813,100.0,32.92258900737565,52.51480808586835,13.341174930947613,871f1d48effffff,"[52.5214179015252, 13.338298068328278]",45,45,1.1415083734909417
13,22,570.0209999999995,579.4556953626233,579.4556953626233,100.0,32.22108906739961,52.53294186195135,13.374503252315879,871f1d488ffffff,"[52.525747544069404, 13.409062493613757]",39,40,3.717347681311897
14,13,570.0219999999995,578.9442449708856,578.9442449708856,100.0,31.344272083282313,52.529815009902606,13.36938288902866,871f1d488ffffff,"[52.5214179015252, 13.338298068328278]",39,45,3.46112248544307
15,182,600.0339999999992,605.2297746145002,605.2297746145002,99.99999999999999,39.52772977037044,52.48710511481851,13.435443763035387,871f1d4d2ffffff,"[52.49354154204225, 13.44705274547329]",73,73,1.5978873072505058
16,92,600.0299999999993,607.1731325850542,607.1731325850542,100.0,38.85789154151795,52.57106546948351,13.338373593320254,871f1d4a8ffffff,"[52.555749287059484, 13.33564386582653]",57,59,2.571566292527474
17,115,600.0309999999993,608.0894300523607,608.0894300523607,100.0,38.56250104433149,52.544078914634035,13.35844299418225,871f1d48cffffff,"[52.555749287059484, 13.33564386582653]",43,59,3.029215026180759
18,14,600.0289999999993,606.6497429839989,606.6497429839989,100.0,37.08759084723005,52.5665638468447,13.321468434045972,871f1d4aeffffff,"[52.555749287059484, 13.33564386582653]",61,59,2.3103714919997618
19,73,600.0319999999992,606.1652892896288,606.1652892896288,100.0,35.86775042438039,52.50456131578347,13.456302035870742,871f1d4d0ffffff,"[52.49354154204225, 13.44705274547329]",71,73,2.066644644814809
20,181,600.0329999999992,606.2999649240447,606.2999649240447,100.0,31.931523207960918,52.50519155177321,13.455669237465104,871f1d4d0ffffff,"[52.49354154204225, 13.44705274547329]",71,73,2.1334824620227755
21,55,660.0509999999988,666.2957103692025,666.2957103692025,56.57335468787865,37.74425103246781,52.514762489869895,13.356058199267478,871f1d48affffff,"[52.5214179015252, 13.338298068328278]",41,45,2.122355184601885
22,65,630.0369999999991,636.3493037768128,636.3493037768128,83.91469419731905,39.63701105567777,52.479548446499976,13.375767194245014,871f18b24ffffff,"[52.47097073792448, 13.359949569579772]",16,18,2.1561518884068587
23,0,600.0349999999992,608.5677496676502,608.5677496676502,51.984045133433156,37.70807420593413,52.514396943311745,13.473080253203964,871f1d4d0ffffff,"[52.49567874009848, 13.482433686642091]",71,74,3.266374833825526
24,197,600.0279999999993,605.9644430756518,605.9644430756518,100.0,29.56341495649982,52.48074242621057,13.3707583331595,871f18b24ffffff,"[52.47097073792448, 13.359949569579772]",16,18,1.9682215378262715
25,129,600.0269999999994,604.4449793614156,604.4449793614156,100.0,28.080525703995153,52.47218753014544,13.371641868682696,871f18b26ffffff,"[52.47097073792448, 13.359949569579772]",18,18,1.2089896807081173
26,34,390.00599999999986,400.58583729202,400.58583729202,100.0,45.26575851811192,52.424795654466045,13.256048859492358,871f1886bffffff,"[52.448334960057736, 13.27293171266307]",4,3,4.289918646010082
27,27,630.0449999999989,636.9319863892172,636.9319863892172,100.0,39.59675809428759,52.56317915274987,13.314947640484528,871f1d4aeffffff,"[52.555749287059484, 13.33564386582653]",61,59,2.4434931946091467
28,95,630.0469999999989,638.2478858073176,638.2478858073176,100.0,39.64088955119696,52.47499678493737,13.448788332948027,871f18b2cffffff,"[52.49354154204225, 13.44705274547329]",21,73,3.1004429036593537
29,113,630.0379999999991,636.8245188612567,636.8245188612567,100.0,36.90269634028047,52.471899641535,13.38337937430281,871f18b20ffffff,"[52.47097073792448, 13.359949569579772]",12,18,2.3932594306287815
30,9,630.043999999999,638.0308057417228,638.0308057417228,100.0,37.33785077766069,52.561266409986885,13.363641760747416,871f1d4abffffff,"[52.555749287059484, 13.33564386582653]",60,59,2.9934028708619262
31,37,630.0459999999989,636.2687762018007,636.2687762018007,100.0,35.17233274555617,52.48824329088274,13.428235157765211,871f18b25ffffff,"[52.49354154204225, 13.44705274547329]",17,73,2.111388100900907
32,162,630.0389999999991,640.6051825033366,640.6051825033366,100.0,37.05123286234442,52.49359007401705,13.340103006157014,871f1d499ffffff,"[52.47097073792448, 13.359949569579772]",49,18,4.283091251668726
33,24,630.040999999999,637.7076758501057,637.7076758501057,54.48272417916939,38.26246567003277,52.49548666158828,13.312902825147242,871f1d49dffffff,"[52.50097209442048, 13.286581684197897]",53,52,2.8333379250533217
34,41,480.01499999999965,485.14673457046507,485.14673457046507,82.73877709516458,38.295518556796374,52.50725298618778,13.298000948185248,871f1d49cffffff,"[52.50097209442048, 13.286581684197897]",52,52,1.565867285232707
35,63,450.01099999999974,455.5044293082599,455.5044293082599,93.0971251260471,43.2556134300541,52.512240527126686,13.315680990141365,871f1d49dffffff,"[52.51923755026084, 13.302925854602037]",53,36,1.7467146541300609
36,131,690.0579999999986,694.7202366247403,694.7202366247403,66.12015728290015,35.819911465991254,52.51834012623685,13.413905667478566,871f1d489ffffff,"[52.525747544069404, 13.409062493613757]",40,40,1.3311183123708479
